Year_Month,Branch,Total_of_Ratings,m_i
2011-12,Disneyland_California,4.469767441860465,215
2011-12,Disneyland_HongKong,4.134831460674158,89
2011-12,Disneyland_Paris,4.118421052631579,76
2011-7,Disneyland_California,4.232876712328767,73
2011-7,Disneyland_HongKong,4.083333333333333,24
2011-7,Disneyland_Paris,3.7916666666666665,72
2012-10,Disneyland_California,4.538461538461538,221
2012-10,Disneyland_HongKong,4.225806451612903,62
2012-10,Disneyland_Paris,4.147058823529412,136
2012-3,Disneyland_California,4.599009900990099,202
2012-3,Disneyland_HongKong,4.059701492537314,67
2012-3,Disneyland_Paris,4.0495049504950495,101
2014-2,Disneyland_California,4.284552845528455,123
2014-2,Disneyland_HongKong,3.911764705882353,34
2014-2,Disneyland_Paris,4.336842105263158,95
2015-5,Disneyland_California,4.526153846153846,325
2015-5,Disneyland_HongKong,4.181159420289855,138
2015-5,Disneyland_Paris,3.9209302325581397,215
2015-6,Disneyland_California,4.376093294460642,343
2015-6,Disneyland_HongKong,4.30827067669173,133
2015-6,Disneyland_Paris,3.888888888888889,216
2015-7,Disneyland_California,4.396011396011396,351
2015-7,Disneyland_HongKong,4.092307692307692,130
2015-7,Disneyland_Paris,3.9676258992805757,278
2016-11,Disneyland_California,4.485714285714286,175
2016-11,Disneyland_HongKong,4.359375,128
2016-11,Disneyland_Paris,4.3307692307692305,130
2016-2,Disneyland_California,4.258064516129032,186
2016-2,Disneyland_HongKong,4.1395348837209305,86
2016-2,Disneyland_Paris,3.9432624113475176,141
2016-8,Disneyland_California,4.420168067226891,238
2016-8,Disneyland_HongKong,4.041322314049586,121
2016-8,Disneyland_Paris,4.078947368421052,228
2017-11,Disneyland_California,4.325,120
2017-11,Disneyland_HongKong,4.208695652173913,115
2017-11,Disneyland_Paris,4.234567901234568,81
2017-4,Disneyland_California,4.366336633663367,202
2017-4,Disneyland_HongKong,4.3355704697986575,149
2017-4,Disneyland_Paris,3.8979591836734695,196
2018-12,Disneyland_California,4.2555555555555555,90
2018-12,Disneyland_HongKong,4.336283185840708,113
2018-12,Disneyland_Paris,3.5689655172413794,116
2018-8,Disneyland_California,4.335766423357664,137
2018-8,Disneyland_HongKong,4.044776119402985,67
2018-8,Disneyland_Paris,3.825641025641026,195
